"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","SMOY"
"173","Jeremy Lamb",2021,"SG",28,"IND",36,8,21.3,3.3,7.7,0.435,1.4,3.6,0.406,1.9,4.1,0.459,0.529,2,2.1,0.947,0.7,2.9,3.6,1.5,0.9,0.6,0.6,2,10.1,15.8,0.587,0.464,0.272,3.6,14.9,9.3,9.5,2.1,2.4,6.6,18.5,1.2,0.9,2.1,0.134,0.9,0.4,1.3,0.6,0
"174","Romeo Langford",2021,"SG",21,"BOS",15,3,14.6,0.9,2.8,0.31,0.3,1,0.267,0.6,1.8,0.333,0.357,0.3,0.3,1,0.7,1.2,1.9,0.7,0.3,0.3,0.5,1.1,2.3,3.9,0.388,0.357,0.095,5.6,9.2,7.4,5.7,0.9,1.7,15.5,10.2,-0.2,0.1,-0.1,-0.014,-5.1,-0.4,-5.5,-0.2,0
"175","Jake Layman",2021,"SF",26,"MIN",44,11,13.9,2,4.1,0.497,0.5,1.7,0.293,1.5,2.4,0.644,0.559,0.6,0.8,0.703,0.3,1.2,1.5,0.6,0.7,0.4,0.6,1,5.1,11.5,0.579,0.419,0.207,2.2,9.5,5.8,6.6,2.2,2.7,11.7,15.2,0.2,0.5,0.7,0.053,-2.5,0,-2.6,-0.1,0
"176","T.J. Leaf",2021,"PF",23,"POR",6,0,5,0.8,1.5,0.556,0,0,0,0.8,1.5,0.556,0.556,0.3,0.3,1,0,0.7,0.7,0.2,0.3,0.2,0.3,0.2,2,14,0.607,0,0.222,0,14.7,7.1,4.8,3.2,3,16.8,17,0,0,0,0.054,-3.6,2.2,-1.3,0,0
"177","Jalen Lecque",2021,"PG",20,"IND",4,0,3,0.3,2.3,0.111,0,0.3,0,0.3,2,0.125,0.111,0.8,0.8,1,0.5,0.8,1.3,0.5,0,0,0,0,1.3,4.7,0.242,0.111,0.333,18.2,26.9,22.6,20.7,0,0,0,36.7,-0.1,0,-0.1,-0.231,-6.3,-6.8,-13.1,0,0
"178","Damion Lee",2021,"SG",28,"GSW",57,1,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.9,1.4,0.638,0.608,0.7,0.8,0.909,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6,6.5,11.8,0.636,0.708,0.161,2.2,15.4,8.9,9.1,1.7,0.7,9.3,12.8,1.4,1.3,2.7,0.118,-0.8,0.5,-0.3,0.5,0
"179","Saben Lee",2021,"PG",21,"DET",46,7,16,2,4.4,0.468,0.2,0.5,0.364,1.9,3.9,0.48,0.488,1.3,1.9,0.685,0.4,1.6,2,3.6,0.7,0.3,1.1,1.6,5.6,14.1,0.535,0.109,0.443,3,11.1,7,33.5,2.1,1.4,17.8,17.4,0.7,0.7,1.4,0.095,-2.1,0.4,-1.7,0.1,0
"180","Kira Lewis Jr.",2021,"PG",19,"NOP",51,0,16.2,2.4,6.1,0.388,0.7,2.2,0.327,1.6,3.9,0.422,0.447,0.6,0.8,0.821,0.2,0.9,1.2,2.3,0.7,0.2,0.6,1.6,6.1,10.3,0.472,0.362,0.125,1.4,6.3,3.9,19.1,2.1,1.1,8.4,18.2,0.2,0.6,0.8,0.045,-3.2,-0.5,-3.7,-0.3,0
"181","Nassir Little",2021,"PF",20,"POR",47,2,13.5,1.6,3.5,0.461,0.6,1.7,0.35,1,1.8,0.565,0.545,0.8,1,0.8,0.7,2,2.7,0.5,0.1,0.3,0.4,1.1,4.6,11.4,0.584,0.485,0.273,5.2,16.5,10.7,4.7,0.4,1.8,8.9,13.7,0.8,0.2,1,0.079,-1.1,-2.1,-3.2,-0.2,0
"182","Robin Lopez",2021,"C",32,"WAS",68,9,19.2,3.7,5.9,0.631,0.1,0.3,0.278,3.6,5.6,0.647,0.637,1.5,2,0.723,2,1.9,3.8,0.8,0.2,0.6,1,1.5,8.9,16.5,0.661,0.045,0.344,11,10.2,10.6,5.8,0.5,2.8,13.4,16.8,2.7,0.8,3.5,0.13,0.2,-1.4,-1.2,0.3,0
"183","Timothe Luwawu-Cabarrot",2021,"SF",25,"BRK",55,7,18.8,2.3,6.3,0.364,1.3,4.3,0.315,1,2.1,0.465,0.47,0.6,0.8,0.814,0.5,1.8,2.3,1.2,0.6,0.1,0.8,1.8,6.6,7.7,0.493,0.673,0.123,3,10.3,6.8,8.3,1.5,0.5,10.2,17.3,-0.3,0.6,0.3,0.014,-3.2,-1.7,-4.9,-0.7,0
"184","Trey Lyles",2021,"PF",25,"SAS",23,9,15.6,1.9,3.9,0.478,0.6,1.7,0.35,1.3,2.2,0.58,0.556,0.7,1,0.652,0.4,3.3,3.7,0.6,0.3,0,0.3,0.6,5,11.4,0.574,0.444,0.256,2.6,23.3,12.8,5.3,0.8,0.2,5.7,12.9,0.3,0.3,0.7,0.088,-1.2,-0.7,-1.9,0,0
"185","Will Magnay",2021,"C",22,"NOP",1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-35.2,0,1,0,0,0,0,0,0,0,50,28,0,0,0,-0.786,-30.7,-8.9,-39.6,0,0
"186","Thon Maker",2021,"C",23,"CLE",8,0,9.5,1.3,2.3,0.556,0,0.3,0,1.3,2,0.625,0.556,1.3,1.4,0.909,1,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8,18.7,0.657,0.111,0.611,11.5,15.2,13.3,7.9,1.3,4.7,11.6,14.8,0.2,0.1,0.3,0.174,0.3,1.2,1.5,0.1,0
"187","Karim Mane",2021,"PG",20,"ORL",10,0,8.8,0.3,1.3,0.231,0.1,0.2,0.5,0.2,1.1,0.182,0.269,0.4,0.5,0.8,0.1,1.3,1.4,0.4,0,0.2,0.3,1,1.1,1.3,0.362,0.154,0.385,1.1,15.9,8.3,6,0,2.1,16.5,8.9,-0.1,0,-0.1,-0.043,-9,-0.8,-9.9,-0.2,0
"188","Terance Mann",2021,"SG",24,"LAC",65,10,19,2.6,5.2,0.5,0.6,1.4,0.416,2,3.9,0.53,0.554,1.1,1.4,0.831,0.9,2.8,3.6,1.6,0.4,0.2,0.6,1.9,6.9,13.5,0.595,0.262,0.262,5.3,16,10.8,11.3,1.2,0.9,9.5,15,2.2,1.3,3.5,0.136,-0.7,0.4,-0.3,0.5,0
"189","Nico Mannion",2021,"PG",19,"GSW",29,1,11.4,1.2,3.5,0.353,0.7,1.9,0.37,0.6,1.7,0.333,0.451,0.7,0.9,0.8,0.1,1.2,1.3,2.2,0.6,0,1,1,3.9,9,0.496,0.529,0.245,1,11.1,6.1,25.3,2.3,0.3,21,18.4,-0.2,0.4,0.2,0.023,-3.6,-0.4,-4,-0.2,0
"190","Boban Marjanovic",2021,"C",32,"DAL",31,3,8.5,2,3.9,0.508,0,0.2,0.143,1.9,3.6,0.531,0.513,0.9,1.1,0.824,1.5,2.5,4.1,0.3,0.1,0.2,0.3,0.9,4.9,22.9,0.559,0.058,0.283,19.9,32.7,26.4,5.5,0.4,2.1,6.9,24.4,0.7,0.3,1,0.19,1.8,-2.8,-1,0.1,0
"191","Naji Marshall",2021,"SF",23,"NOP",29,7,20.7,2.2,5.9,0.376,0.8,2.4,0.338,1.4,3.4,0.404,0.447,1.5,2.2,0.688,0.5,3.8,4.2,2.6,0.8,0.3,0.9,1.8,6.8,11.4,0.495,0.418,0.376,2.5,19.8,11.2,16.4,1.9,1.6,11.2,15.7,0.3,0.6,0.9,0.073,-2,1.1,-0.9,0.2,0
"192","Caleb Martin",2021,"SF",25,"CHO",52,3,15.4,1.8,4.8,0.369,0.6,2.3,0.246,1.2,2.4,0.488,0.43,0.8,1.2,0.641,0.6,2.1,2.7,1.3,0.7,0.2,0.6,1.2,4.9,9.5,0.46,0.49,0.257,4.2,15,9.5,11.5,2.3,1.5,10.4,16.6,-0.4,0.9,0.5,0.032,-3.5,-0.3,-3.7,-0.4,0
"193","Cody Martin",2021,"SF",25,"CHO",52,10,16.3,1.6,3.6,0.441,0.3,1.1,0.276,1.3,2.5,0.515,0.484,0.5,0.8,0.581,1,2.1,3.1,1.7,0.7,0.2,0.8,1,4,10.5,0.5,0.309,0.229,6.6,14,10.3,13.8,2.1,1.4,16.2,12.5,0.2,0.9,1.1,0.062,-2.6,0.3,-2.2,-0.1,0
"194","Jeremiah Martin",2021,"PG",24,"CLE",7,0,7.4,1,3.7,0.269,0.4,1.4,0.3,0.6,2.3,0.25,0.327,0.1,0.7,0.2,0.1,0.7,0.9,0.4,0.6,0,0.7,0.1,2.6,0,0.319,0.385,0.192,2.1,11.1,6.5,8.7,3.8,0,15.1,27.8,-0.3,0.1,-0.3,-0.252,-10,-1.8,-11.8,-0.1,0
"195","Kelan Martin",2021,"SF",25,"IND",32,0,7.9,1.5,3.3,0.448,0.5,1.3,0.381,1,2,0.492,0.524,0.2,0.3,0.875,0.4,1.5,1.9,0.4,0.2,0.2,0.4,0.9,3.7,12.7,0.539,0.4,0.076,6.1,20.5,13.3,7.9,1.3,2.3,11.4,20.7,0,0.3,0.3,0.05,-2.1,-1,-3.1,-0.1,0
"196","Kenyon Martin Jr.",2021,"SF",20,"HOU",42,5,22.9,3.5,6.7,0.52,0.7,1.8,0.395,2.8,4.9,0.566,0.573,1.3,1.7,0.74,1.7,3.5,5.2,1,0.6,0.9,0.7,1.9,9,15.2,0.6,0.27,0.26,7.5,16.9,12,6.4,1.3,3.6,8.7,15.2,1.4,0.8,2.3,0.113,-1.1,-0.2,-1.4,0.2,0
"197","Frank Mason III",2021,"PG",26,"ORL",4,1,19.8,2.3,6,0.375,0.5,1.3,0.4,1.8,4.8,0.368,0.417,1.3,1.8,0.714,0.8,2.3,3,3,0,0,1.3,1.8,6.3,7.5,0.462,0.208,0.292,3.8,12.2,7.9,22.2,0,0,15.6,17.5,0,0,0,-0.016,-6.1,-3.1,-9.2,-0.1,0
"198","Garrison Mathews",2021,"SG",24,"WAS",61,23,16.3,1.5,3.7,0.414,1.2,3.1,0.388,0.3,0.6,0.538,0.575,1.3,1.5,0.89,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.6,5.6,9.9,0.64,0.828,0.401,1.7,7.2,4.5,3.3,1.3,0.5,3.6,11.5,1.7,0.6,2.3,0.11,-1.6,-0.6,-2.2,-0.1,0
"199","Dakota Mathias",2021,"SG",25,"PHI",8,2,15.4,2.4,6,0.396,1,3.3,0.308,1.4,2.8,0.5,0.479,0.3,0.8,0.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6,9.8,0.474,0.542,0.125,0.9,5.3,3.1,15.1,0.4,2.2,1.9,18,0.1,0.1,0.2,0.063,-1.9,-1.7,-3.6,0,0
"200","Wesley Matthews",2021,"SG",34,"LAL",55,9,19.7,1.5,4.4,0.349,1.1,3.4,0.333,0.4,0.9,0.404,0.479,0.6,0.7,0.842,0.4,1.3,1.6,0.9,0.6,0.3,0.4,1.4,4.8,6.9,0.51,0.784,0.158,2.1,7.1,4.6,6.2,1.5,1.3,8.5,11.3,0.2,1.4,1.6,0.071,-3.2,0.6,-2.6,-0.2,0
"201","Tyrese Maxey",2021,"SG",20,"PHI",58,7,14.8,3.1,6.8,0.461,0.5,1.7,0.292,2.6,5.1,0.515,0.496,0.9,1.1,0.857,0.2,1.4,1.6,1.8,0.4,0.2,0.7,1.2,7.7,13.9,0.528,0.244,0.16,1.4,10.2,5.9,18.8,1.2,1.2,8.5,23,0.6,1,1.6,0.09,-1.5,-0.8,-2.2,0,0
"202","Skylar Mays",2021,"SG",23,"ATL",31,0,7.7,1.2,2.7,0.424,0.4,1.1,0.343,0.8,1.6,0.48,0.494,0.7,0.8,0.88,0.3,0.7,1,0.7,0.5,0,0.3,0.5,3.4,15.6,0.552,0.412,0.294,4.7,9.6,7.2,14,2.9,0,7.7,19,0.4,0.2,0.6,0.123,0.3,0.4,0.7,0.2,0
"203","Patrick McCaw",2021,"SF",25,"TOR",5,0,6.6,0.2,0.2,1,0,0,0,0.2,0.2,1,1,0.6,0.6,1,0.2,0.4,0.6,0.8,0.4,0,0,1.2,1,12,1.078,0,3,3.2,6.9,5,15.2,2.9,0,0,3,0.1,0,0.1,0.211,-2.5,3.5,1,0,0
"204","T.J. McConnell",2021,"PG",28,"IND",66,2,25.5,3.8,6.9,0.561,0.2,0.7,0.318,3.6,6.2,0.587,0.576,0.5,0.7,0.689,0.8,2.8,3.6,6.4,1.8,0.3,1.9,1.6,8.4,16.9,0.585,0.097,0.099,3.5,11.9,7.7,34.2,3.3,1,21,15.2,2.4,2.1,4.6,0.13,-0.1,1.6,1.5,1.5,0
"205","Jaden McDaniels",2021,"PF",20,"MIN",60,25,24,2.6,5.8,0.441,1.1,3.1,0.366,1.4,2.7,0.528,0.539,0.5,0.8,0.6,0.8,3,3.8,1.1,0.6,1,0.7,2.7,6.7,8.9,0.547,0.536,0.13,3.6,13.8,8.5,6.3,1.1,3.5,10.7,12,0.4,1,1.4,0.046,-3.5,-0.3,-3.7,-0.6,0
"206","Jalen McDaniels",2021,"SF",23,"CHO",44,15,18.3,2.7,5.8,0.467,0.7,2.1,0.337,2,3.8,0.539,0.527,0.8,1.3,0.673,1,2.5,3.4,1,0.6,0.4,1,2,7,11.3,0.548,0.358,0.214,5.7,14.7,10.2,8.4,1.6,2.2,13,17.3,0.2,0.8,1,0.058,-3,-0.6,-3.6,-0.3,0
"207","Doug McDermott",2021,"PF",29,"IND",63,26,24.3,5.3,9.9,0.53,1.6,4.3,0.384,3.6,5.7,0.64,0.613,1.2,1.5,0.817,0.9,2.5,3.4,1.3,0.3,0.1,0.8,1.7,13.4,15.5,0.632,0.428,0.149,4.2,11,7.6,7.8,0.6,0.3,7.2,20,2.8,0.7,3.5,0.111,1.5,-2.1,-0.6,0.6,0
"208","Sean McDermott",2021,"SF",24,"MEM",18,0,8.8,0.7,1.8,0.394,0.3,1.2,0.227,0.4,0.6,0.727,0.47,0.4,0.4,1,0.3,0.7,1.1,0.2,0.1,0.2,0.2,0.4,2.2,7.2,0.534,0.667,0.242,4,8.8,6.4,3.1,0.6,1.7,9.9,10.8,0.1,0.1,0.2,0.05,-3.3,-1.8,-5.1,-0.1,0
"209","JaVale McGee",2021,"C",33,"TOT",43,1,14.5,3,6,0.512,0.1,0.5,0.227,2.9,5.4,0.538,0.521,1,1.5,0.662,1.6,3.4,5,0.8,0.4,1.1,1.4,2.6,7.2,16.6,0.545,0.086,0.254,12,26.8,19.2,9.9,1.5,7.1,17.4,24.1,-0.2,1,0.7,0.056,-3.4,1.1,-2.3,0,0
"210","Rodney McGruder",2021,"SG",29,"DET",16,2,12.1,2.3,4.4,0.529,0.7,1.5,0.458,1.6,2.9,0.565,0.607,0.4,0.5,0.75,0.5,0.9,1.4,1,0.5,0.1,0.4,0.8,5.7,16.1,0.619,0.343,0.114,4.5,8.1,6.3,13.6,2,0.4,8.7,18.1,0.3,0.2,0.5,0.121,0.9,-0.2,0.7,0.1,0
"211","Alfonzo McKinnie",2021,"SF",28,"LAL",37,0,6.5,1.2,2.3,0.512,0.4,1,0.417,0.8,1.3,0.583,0.601,0.2,0.5,0.529,0.5,0.8,1.3,0.2,0.1,0,0.1,0.6,3,14.6,0.601,0.429,0.202,9.4,13.5,11.5,3.8,1,0,5.2,17.5,0.4,0.3,0.7,0.147,0.2,-1.4,-1.2,0.1,0
"212","Jordan McLaughlin",2021,"PG",24,"MIN",48,2,18.7,1.9,4.8,0.401,0.6,1.8,0.352,1.3,3,0.431,0.468,0.5,0.6,0.786,0.4,1.7,2.1,3.9,1,0.1,1,0.9,5,11.7,0.489,0.379,0.121,2.3,10.4,6.2,28.2,2.6,0.6,17,13.7,0.4,0.6,1.1,0.056,-2.3,-0.1,-2.4,-0.1,0
"213","Ben McLemore",2021,"SG",27,"TOT",50,5,17.3,2.6,7.1,0.369,1.9,5.4,0.349,0.7,1.7,0.434,0.503,0.8,1.1,0.736,0.3,1.7,2,0.7,0.5,0.2,0.8,1.7,7.9,8.7,0.523,0.766,0.149,1.8,10.8,6.2,6.2,1.3,0.9,10,20.8,-0.5,0.7,0.2,0.011,-2.6,-1.3,-3.9,-0.4,0
"214","Nicolo Melli",2021,"PF",30,"TOT",42,4,12.4,1,3,0.32,0.5,1.8,0.257,0.5,1.3,0.407,0.395,0.4,0.5,0.739,0.6,2,2.6,1,0.3,0.1,0.3,1.4,2.8,7.3,0.427,0.578,0.18,5.3,17.9,11.6,9.9,1.3,0.5,7.4,12.4,0,0.4,0.5,0.042,-4,0.1,-3.9,-0.3,0
"215","De'Anthony Melton",2021,"PG",22,"MEM",49,1,20.1,3.4,7.7,0.444,1.8,4.1,0.43,1.7,3.6,0.46,0.559,0.7,0.9,0.783,0.6,2.6,3.2,2.6,1.1,0.6,1.3,1.7,9.3,15.7,0.575,0.532,0.122,3.1,13.7,8.3,17.9,2.7,2.6,13.5,19.6,0.8,1.4,2.2,0.109,0.9,1.4,2.3,1.1,0
"216","Sam Merrill",2021,"SG",24,"MIL",28,1,7.3,1.1,2.3,0.492,0.8,1.5,0.5,0.4,0.8,0.476,0.659,0.1,0.1,1,0.2,0.8,1,0.7,0.2,0,0.4,0.5,3.1,13.9,0.672,0.667,0.063,3.2,10.4,6.9,12.6,1.2,0.4,13.4,15.3,0.4,0.2,0.6,0.133,0.9,-0.7,0.3,0.1,0
"217","Chimezie Metu",2021,"C",23,"SAC",33,3,12.1,2.3,4.3,0.524,0.2,0.7,0.364,2,3.7,0.554,0.552,0.8,1.2,0.718,0.9,2,2.8,0.8,0.4,0.5,0.8,1.6,5.6,15.6,0.581,0.154,0.273,8,18.3,13.1,8.9,1.6,3.8,13.5,20,0.4,0.3,0.6,0.077,-2.2,-1.3,-3.4,-0.1,0
"218","Darius Miller",2021,"SF",30,"OKC",18,0,10.9,1.2,2.7,0.458,0.9,2.3,0.405,0.3,0.3,0.833,0.635,0.7,0.7,1,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1,15.9,0.685,0.875,0.25,1,11.8,6.3,15.4,3.1,2.3,13.1,13.2,0.4,0.2,0.6,0.155,1.2,2.7,3.9,0.3,0
"219","Patty Mills",2021,"PG",32,"SAS",65,0,24.8,3.8,9,0.416,2.4,6.3,0.377,1.4,2.7,0.506,0.548,1,1.1,0.901,0.3,1.5,1.8,2.4,0.6,0,0.9,1.2,10.9,12.1,0.572,0.7,0.121,1.2,6.5,3.8,13.4,1.3,0.2,8.8,18.3,1.4,0.9,2.3,0.068,0.2,-1.7,-1.5,0.2,0
"220","Shake Milton",2021,"SG",24,"PHI",60,3,23.3,4.7,10.6,0.445,1.1,3.2,0.351,3.6,7.4,0.486,0.498,2.4,2.8,0.839,0.5,1.8,2.3,3,0.6,0.3,1.7,2.1,12.9,14,0.546,0.305,0.264,2.5,8.2,5.4,19.7,1.2,1,12.6,25,0.9,1.6,2.4,0.083,-1.2,-1.4,-2.6,-0.2,0
"221","Adam Mokoka",2021,"SG",22,"CHI",13,0,4.2,0.5,1.4,0.389,0.1,0.8,0.1,0.5,0.6,0.75,0.417,0,0.1,0,0.1,0.3,0.4,0.4,0.2,0.1,0.3,0.4,1.2,4,0.407,0.556,0.056,2.1,8.1,5.1,12.4,1.8,1.6,17.8,18,-0.1,0.1,-0.1,-0.074,-6.6,-1.7,-8.3,-0.1,0
"222","Malik Monk",2021,"SG",22,"CHO",39,0,21.6,4.3,9.8,0.441,2.2,5.2,0.414,2.2,4.6,0.472,0.551,1.5,1.8,0.826,0.4,2.2,2.5,2.2,0.5,0.1,1.4,1.2,12.3,14,0.579,0.53,0.18,1.8,11,6.4,15.8,1,0.5,11.7,23.9,0.6,0.5,1.1,0.062,0.6,-2.2,-1.6,0.1,0
"223","E'Twaun Moore",2021,"SG",31,"PHO",25,1,14.2,1.7,4.2,0.406,0.3,1.3,0.25,1.4,3,0.473,0.443,0.4,0.5,0.833,0.5,1.2,1.7,1.4,0.6,0.2,0.8,1.2,4.2,8.4,0.467,0.302,0.113,4.2,9.4,6.9,12.8,2.1,1,14.6,16.3,-0.2,0.4,0.2,0.022,-4.8,0.6,-4.2,-0.2,0
"224","Juwan Morgan",2021,"PF",23,"UTA",27,0,5.1,0.5,1,0.481,0.1,0.5,0.308,0.3,0.5,0.643,0.556,0.1,0.3,0.429,0.3,0.7,1,0.3,0.1,0,0.1,0.8,1.2,9,0.549,0.481,0.259,7.3,13.3,10.5,8.6,1.4,0.6,11.7,10.7,0.1,0.2,0.3,0.116,-3.2,1.1,-2.1,0,0
"225","Marcus Morris",2021,"PF",31,"LAC",55,27,26.7,4.9,10.4,0.469,2.5,5.3,0.471,2.4,5.1,0.468,0.588,1.3,1.6,0.816,0.6,3.5,4.1,1,0.6,0.3,1,2.1,13.5,14.3,0.61,0.506,0.152,2.6,14.5,8.7,5.6,1.1,0.9,8.3,20,2,1.5,3.4,0.113,0.8,-1,-0.3,0.7,0
"226","Markieff Morris",2021,"PF",31,"LAL",60,26,19.6,2.5,6.1,0.404,1.1,3.4,0.307,1.4,2.7,0.528,0.49,0.6,0.8,0.708,0.8,3.6,4.4,1.2,0.4,0.3,0.9,1.7,6.6,9.1,0.508,0.56,0.131,4.5,20.4,12.5,8.3,0.9,1.4,12.2,16.3,-0.3,1.8,1.5,0.06,-2.8,-0.2,-3,-0.3,0
"227","Monte Morris",2021,"PG",25,"DEN",45,13,25.8,3.9,8.2,0.476,1.1,2.9,0.379,2.8,5.3,0.529,0.543,1.2,1.6,0.789,0.2,1.9,2.1,3.2,0.7,0.3,0.7,1,10.2,13.7,0.571,0.357,0.192,1.1,8.3,4.7,16.7,1.4,1.1,7.6,16.3,1.9,0.8,2.7,0.111,0.1,-1.1,-1,0.3,0
"228","Mychal Mulder",2021,"PG",26,"GSW",58,5,12.4,1.9,4.2,0.443,1.3,3.4,0.392,0.5,0.8,0.66,0.602,0.2,0.4,0.619,0.1,0.8,1,0.4,0.2,0.2,0.3,0.9,5.3,10.3,0.605,0.809,0.085,1.2,7,4.2,4.7,0.7,1.4,5.9,16.2,0.5,0.5,1,0.068,-1.1,-1.5,-2.6,-0.1,0
"229","Mike Muscala",2021,"C",29,"OKC",35,0,18.4,3.4,7.6,0.446,1.9,5.3,0.37,1.5,2.4,0.614,0.573,0.9,1,0.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7,14.6,0.599,0.689,0.135,3,18.5,10.7,7,0.6,1.5,6.9,20,0.8,0.4,1.3,0.095,0.8,-1.2,-0.3,0.3,0
